2689044.000000,2464044.500000
2573415.500000,2502420.000000
2530930.000000,2543897.000000
2545697.000000,2478296.500000
2572895.000000,2655949.000000
2635238.000000,2493142.250000
2528898.500000,2503075.000000
2510868.500000,2512621.000000
2507348.500000,2517748.000000
2516710.000000,2603059.250000
2535544.750000,2540702.500000
2564796.500000,2432079.500000
2612853.250000,2527354.750000
2520039.500000,2581930.000000
2504296.000000,2516743.250000
2533876.500000,2398265.500000
2535221.500000,2483211.750000
2507979.000000,2521430.000000
2440112.000000,2576945.500000
2448862.250000,2350751.750000
2489993.250000,2426587.750000
2548544.000000,2475828.250000
2595072.750000,2496757.500000
2613103.000000,2540980.500000
2613560.000000,2417754.000000
2530643.000000,2546416.500000
2355460.000000,2462673.250000
2412595.750000,2374402.250000
2467056.000000,2569519.000000
2453979.000000,2351939.500000
2472240.000000,2401085.500000
2488401.000000,2433872.750000
2356523.000000,2496871.500000
2415625.000000,2490593.250000
2444070.000000,2482682.500000
2417857.500000,2385079.000000
2278910.000000,2448214.500000
2388483.500000,2533835.000000
2322454.000000,2403095.000000
2340741.000000,2355144.250000
2435367.000000,2473734.000000
2326280.000000,2328369.000000
2509009.000000,2490855.000000
2280210.250000,2338390.250000
2334054.500000,2428035.000000
2287971.000000,2298634.500000
2286300.500000,2466269.000000
2274936.500000,2412090.250000
2357434.250000,2410440.750000
2180178.250000,2338474.250000
2238287.250000,2328010.500000
2215664.000000,2387718.750000
2187022.000000,2440507.250000
2274368.500000,2383266.500000
2215545.250000,2382451.500000
2233770.750000,2405999.500000
2226405.500000,2303302.000000
2244105.000000,2290917.750000
2236365.000000,2285794.500000
2188503.000000,2184055.500000
2228278.500000,2310864.250000
2096600.250000,2296194.500000
2007732.500000,2205739.250000
2066374.500000,2305732.250000
2062114.625000,2294523.000000
2075581.500000,2145923.000000
2073467.875000,2219487.500000
2056837.750000,2265837.250000
2069409.000000,2245594.500000
2054444.500000,2177663.500000
1890026.250000,2167671.500000
1999907.375000,2207926.250000
1938031.500000,2229075.000000
2004745.000000,2172177.250000
1902449.750000,2163008.250000
1861688.000000,2232340.500000
